,layers,thresholds,learning rates,epochs,layer_n,epoch,train accuracy,validation accuracy
71,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,4,0.3834444582462311,0.36820000410079956
72,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,5,0.39293333888053894,0.3837999999523163
73,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,6,0.3986000120639801,0.37560001015663147
74,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,7,0.40835556387901306,0.384799987077713
75,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,8,0.4241555631160736,0.39800000190734863
76,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,9,0.431244432926178,0.40959998965263367
77,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,10,0.4427555501461029,0.4138000011444092
78,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,11,0.4567111134529114,0.428600013256073
79,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,12,0.45748889446258545,0.4277999997138977
80,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,13,0.45713332295417786,0.4307999908924103
81,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,14,0.46711111068725586,0.4300000071525574
82,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,15,0.46915555000305176,0.43299999833106995
83,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,16,0.4828222095966339,0.4422000050544739
84,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,17,0.48126667737960815,0.43700000643730164
85,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,18,0.47955554723739624,0.43939998745918274
86,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,19,0.4941999912261963,0.4487999975681305
87,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,20,0.4960888922214508,0.44339999556541443
88,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,21,0.5042222142219543,0.44859999418258667
89,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,22,0.5027333498001099,0.44699999690055847
90,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,23,0.5075777769088745,0.44999998807907104
91,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,24,0.512666642665863,0.4537999927997589
